Titel 	 Grootte familie 	 Aantal keer geciteerd
Organic light emitting diode (OLED) for electronic media, has segments, each having electrical contacts disposed on peripheral edges that define light-emitting areas, and joined in electrical communication with conductive materials	10	0
Method for manufacturing organic light-emitting diode (OLED), involves applying electrode layers such that electrode layers are electrically isolated from each other and one electrode layer is continuous in advancing direction of web	5	0
Electroluminescence display device has light-intercepting projection portion that is projected from package plate towards substrate for preventing illumination of ultra-violet ray through sealant	5	0
Identification card e.g. credit card comprises card body with graphic identification information and light emission device including electrical source such as flat light emitting diode with layers for light emission	5	0
Organic electronic device structure for, e.g. organic thin film transistors, includes radiation-curable, pressure-sensitive adhesive layer on the entire device region and portion of substrate	2	0
Battery-operated electroluminescent lighting system for personal safety or aesthetic purposes using electroluminescent foil forming part of outer covering of clothing or object	2	0
Household refrigerator/freezer unit with internal lighting, uses organic LEDs for internal lighting of refrigerator unit	10	0
Optical pick-up device for electric appliance e.g. laptop computer, has light-emitting device, photodetector and control circuit formed over same substrate, where photodetector converts light from device to electronic signal	3	0
Detecting presence/concentration of gas involves exposing organic electroluminescence device to ambient atmosphere and detecting generation of dark spot	7	0
Hermetically sealed glass package for e.g. organic LED display, has frit heated by irradiation source such that frit softens and forms hermetic seal connecting substrate plates and protecting organic LED located between plates	2	0
Organic light-emitting display for advertising screen installed in train station, has display tile with molded plastics support tilted at prescribed angle with respect to main plane	2	0
Current excitation type organic laser apparatus has organic-compound film and electroconductive reflector provided between anode and cathode	11	0
Manufacture of surface nano-structured and/or nano-porous coating or film, involves applying mixture comprising reactive nano-particles, solvent(s) and compound having polymerizable group(s), on substrate and polymerizing	25	0
Glass package for thin film device e.g. organic emitting light diode display, has frit heated by irradiation source in manner causing frit to melt and form hermetic seal, which connects glass plate to another glass plate	17	0
Organic electroluminescence display device manufacturing method for electronic device, involves performing heat drying process of ink-like organic EL material continuously discharged from nozzle on substrate, to form EL layer	4	0
Electronic circuit formation method using organic LED display involves forming polycrystalline isolation layer on electronic insulation layer to form thin film transistor	2	0
Semiconductor device sealing apparatus has silicon gasket with treaded surface, which seals cap to semiconductor chip having circuit elements which is fabricated on substrate	5	0
Semiconductor device sealing apparatus has silicon gasket with treaded surface, which seals cap to semiconductor chip having circuit elements which is fabricated on substrate	4	0
Illuminated design forming method for e.g. display sign, involves forming outline electrode on sealing layer to transport energy to conductor layer and phosphor layer	2	0
Material for the fabrication of organic light emitting diodes for display screens, incorporating two layers of transparent conducting oxide on a substrate	11	0
Light emitting device for signage and lighting application, has many organic light emitting diode modules connected in series on substrate and configured to emit light on application of voltage from power source	5	0
Chip card has energy converter covering all or part of its surface area, to form integral source meeting e.g. energy requirements for display	6	0
Organic light emitting diode display device for portable communication product, has light-absorbing layer disposed on organic functional layer, and formed by evaporating organic material and by doping metal	3	0
Organic device, e.g. electroluminescent device, comprises homogenous layer located above metallization layer, and promoting coating uniformity of organic layer(s) on substrate, thus reducing or preventing adverse effects of metal	13	0
Organic electronic device structure, e.g. organic light emitting device, comprises organic electronic region over substrate layer, pressure sensitive adhesive layer, and barrier layer disposed over adhesive layer	9	0
Flat panel display used to e.g. display flight data to cockpit flight crew, comprises layer of anti-reflective coating disposed on viewing surface, and having index of refraction no greater than index of refraction of transparent material	11	0
Organic light emitting device for display applications, includes apertures which are formed in organic layer which is provided between electrode and conductive layer, to form electrical connection path	2	0
Electronic device cover e.g. for cellular telephone, has radio frequency identification module comprising processor and memory, provided to inner face of cover portion	7	0
Display device packaging structure, has sealing cap bonded to rim of internal surface of glass substrate, and sealing agent disposed between bonding rims of sealing cap and glass substrate	4	0
Active-matrix organic light emitting diode, has passivation layer arranged on peripheral portions of pixel anode and transparent OLED layer arranged on passivation layer and non- peripheral portions of anode	2	0
Illuminated cover manufacture for electronic device e.g. mobile phone by joining electroluminescent foil to insulating foil and placing in mold, then injecting plastic to form illuminated cover	9	0
Sealing structure for display device, e.g. organic light-emitting device, comprises first and second dielectric layers	15	0
Binary voltage indicator for use in high or medium voltage equipment to indicate presence or absence of voltage using photo-active layer to detect electric field formed by voltage	13	0
Curable liquid resin composition used as protective coating material to prevent scratches or stains on, e.g. plastic optical parts, comprises at least one organic solvent having specific structure	14	0
Organic light emitting device for display applications, has organic layer with aperture providing electrical connection path between conductive layer and one of two electrode layers	1	0
Device cover for a cellular telephone includes electroluminescent foil and insulating foil system	7	0
Organic electroluminescence device and its producing method	13	0
Color correction method in organic electroluminescent device generating correction factor for each light-emitting element based on shift in voltage across light-emitting element and shift in current through it	17	0
Electronic display device in digital imaging device, includes flexible organic light emitting diode which is operatively connected to handle, to display specific image based on user's operation with handle	7	0
Illuminated display system for fabric and textile applications, e.g. safety clothing, includes insulative conformal coating formed into fabric substrate surface over rear electrode	15	0
Self powered illumination system having a photocell and a battery to power an electroluminescent lamp configured as a sign	7	0
Organic electroluminescent element for display or plane emission device comprises cathode formed of two conductive films, one containing alkali(ne earth) metal and the other a metal which excludes oxygen and moisture	4	0
Curable composition used for articles such as optical displays, has sufficient adhesion to plastic substrate, flexibility and preset pencil hardness after curing	17	0
Electroluminescence light-emitting device for portable electronic equipment has EL material interposed between anode and cathode of light-emitting component provided over insulating film on substrate	7	0
Electroluminescent sign as, e.g. display panel for vending machine, includes illuminated design with phosphor layer that extends beyond first electrode, and outlining electrode circumscribing phosphor or conductive layer(s)	9	0
Power generating display device for e.g. cell phones, personal digital assistants has photoelectric cell that generates electrical energy, and display panel that is placed over photoelectric cell	4	0
Light emitting device for electric appliance, has shading film that contacts with electroluminescent device having anode and cathode comprised of transparent or semi-transparent conductive film	7	0
Preformed image formation in organic electroluminescent device, involves removing cathode material from organic EL medium structure so that light is not emitted in removed areas when voltage is applied	5	0
Substrate used as anode for electroluminescence devices comprises transparent substrate and transparent conductive film	9	0
Racket frame for sports e.g. tennis, has magnesium alloy of arbitrary specific gravity provided on part of face or throat	2	0
Barrier assembly as coating for protecting environmentally sensitive display device, comprises stack(s) of barrier layer(s) and polymer layer(s) and has specified oxygen transmission rate and relative humidity	7	0
Glass-plastic composite foil, for production of electronic components and optoelectronic equipment, e.g. displays, comprises a polymer-coated glass foil with low surface undulation and roughness	10	0
Resin composition to prevent stains or scratches, comprises crosslinkable particle, a compound having at least 4 polymerizable unsaturated group, and a compound having 1 - 3 polymerizable unsaturated group(s) in the molecule	24	0
Method of producing organic electroluminescence elements - comprises forming pixel electrodes on transparent substrate and pattern-forming light emitting layers using ink-jet system.	50	0
Thin film device having coating film for liquid crystal panel - has liquid applied and heat treatment performed to form one thin film among an insulating thin film	34	0
